,SSD,ssd_size,ssd_type
760,1TB SSD,1TB,SSD
761,512GB SSD,512GB,SSD
762,512GB SSD,512GB,SSD
763,512GB SSD,512GB,SSD
764,512GB SSD,512GB,SSD
765,512GB SSD,512GB,SSD
766,512GB SSD,512GB,SSD
767,1TB Hard Disk,1TB,Hard Disk
768,1TB SSD,1TB,SSD
769,512GB SSD,512GB,SSD
770,512GB SSD,512GB,SSD
771,1TB SSD,1TB,SSD
772,1TB SSD,1TB,SSD
773,512GB SSD,512GB,SSD
774,512GB SSD,512GB,SSD
775,2TB SSD,2TB,SSD
776,512GB SSD,512GB,SSD
777,512GB SSD,512GB,SSD
778,512GB SSD,512GB,SSD
779,512GB SSD,512GB,SSD
780,512GB SSD,512GB,SSD
781,512GB SSD,512GB,SSD
782,512GB SSD,512GB,SSD
783,512GB SSD,512GB,SSD
784,512GB SSD,512GB,SSD
785,256GB SSD,256GB,SSD
786,512GB SSD,512GB,SSD
787,1TB SSD,1TB,SSD
788,512GB SSD,512GB,SSD
789,512GB SSD,512GB,SSD
790,512GB SSD,512GB,SSD
791,512GB SSD,512GB,SSD
792,1TB SSD,1TB,SSD
793,512GB SSD,512GB,SSD
794,512GB SSD,512GB,SSD
795,512GB SSD,512GB,SSD
796,1TB SSD,1TB,SSD
797,512GB SSD,512GB,SSD
798,1TB SSD,1TB,SSD
799,512GB SSD,512GB,SSD
800,512GB SSD,512GB,SSD
801,1TB SSD,1TB,SSD
802,512GB SSD,512GB,SSD
803,512GB SSD,512GB,SSD
804,512GB SSD,512GB,SSD
805,512GB SSD,512GB,SSD
806,512GB SSD,512GB,SSD
807,512GB SSD,512GB,SSD
808,512GB SSD,512GB,SSD
809,1TB SSD,1TB,SSD
810,512GB SSD,512GB,SSD
