,Generation,brand,gen,model,Model_Number
133,11th Gen Intel Core i7 1165G7,Intel,11th,i7,1165G7
134,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
135,Intel Core Ultra 5 Series 1 125H,Intel,None,Ultra 5,125H
136,Intel Core Ultra 5 Series 1 125H,Intel,None,Ultra 5,125H
137,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
138,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
139,Intel Core Ultra 5 Series 1 125H,Intel,None,Ultra 5,125H
140,Intel Pentium Gold 7505,Intel,None,Pentium,7505
141,13th Gen Intel Core i5 13450HX,Intel,13th,i5,13450HX
142,13th Gen Intel Core i5 1334U,Intel,13th,i5,1334U
143,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
144,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
145,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
146,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
147,3rd Gen AMD Ryzen 3 3250U,AMD,3rd,Ryzen 3,3250U
148,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
149,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
150,Intel Core i9 14900HX,Intel,None,i9,14900HX
151,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
152,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
153,6th Gen AMD Ryzen 7 6800H,AMD,6th,Ryzen 7,6800H
154,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
155,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
156,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
157,Apple M3 Max,Apple,None,M3,Max
158,Apple M3 Pro,Apple,None,M3,Pro
159,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
160,AMD Athlon Silver 7120U,AMD,None,Athlon,7120U
161,Apple M3,Apple,None,M3,M3
162,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
163,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
164,7th Gen AMD Ryzen 5 7520U ,AMD,7th,Ryzen 5,7520U
165,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
166,12th Gen Intel Core i5 1240P,Intel,12th,i5,1240P
167,11th Gen Intel Core i3 1125G4,Intel,11th,i3,1125G4
168,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
169,7th Gen AMD Ryzen 5 7535HS,AMD,7th,Ryzen 5,7535HS
170,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
171,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
172,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
173,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
174,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
175,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
176,12th Gen Intel Core i7 12700H ,Intel,12th,i7,12700H
177,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
178,11th Gen intel Core i3 1115G4,intel,11th,i3,1115G4
179,13th Gen Intel Core i7 NA,Intel,13th,i7,NA
180,11th Gen Intel Core i5 11400H ,Intel,11th,i5,11400H
181,12th Gen Intel Core i5 12500H ,Intel,12th,i5,12500H
182,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
183,Intel Celeron  N4020,Intel,None,Celeron,N4020
184,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
185,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
186,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
187,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
188,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
189,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
190,11th Gen Intel Core i3  1115G4,Intel,11th,i3,1115G4
191,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
192,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
193,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
194,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
195,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
196,5th Gen AMD Ryzen 5  5600H ,AMD,5th,Ryzen 5,5600H
197,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
198,7th Gen AMD Ryzen 7 7735HS,AMD,7th,Ryzen 7,7735HS
199,Apple M2,Apple,None,M2,M2
200,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
201,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
202,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
203,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
204,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
205,12th Gen Intel Core i9 12900HX,Intel,12th,i9,12900HX
206,12th Gen Intel Core i7 12700H,Intel,12th,i7,12700H
207,12th Gen Intel Core i5 1240P,Intel,12th,i5,1240P
208,6th Gen AMD Ryzen 7 6800H ,AMD,6th,Ryzen 7,6800H
209,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
210,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
211,10th Gen Intel Core i7 10750H,Intel,10th,i7,10750H
212,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
213,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
214,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
215,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
216,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
217,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
218,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
219,4th Gen Intel Celeron N4020,Intel,4th,Celeron,N4020
220,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
221,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
222,7th Gen AMD Ryzen 7 7840U,AMD,7th,Ryzen 7,7840U
